Code,NAICS_Level_to_Use_For,Name
23,NAICS_2,
23,NAICS_3,
230301,NAICS_4,
230301,NAICS_5,
230301,NAICS_6,
23,NAICS_2,
23,NAICS_3,
230302,NAICS_4,
230302,NAICS_5,
230302,NAICS_6,
23,NAICS_2,
23,NAICS_3,
233210,NAICS_4,
233210,NAICS_5,
233210,NAICS_6,
23,NAICS_2,
23,NAICS_3,
233230,NAICS_4,
233230,NAICS_5,
233230,NAICS_6,
23,NAICS_2,
23,NAICS_3,
233240,NAICS_4,
233240,NAICS_5,
233240,NAICS_6,
23,NAICS_2,
23,NAICS_3,
233262,NAICS_4,
233262,NAICS_5,
233262,NAICS_6,
23,NAICS_2,
23,NAICS_3,
233411,NAICS_4,
233411,NAICS_5,
233411,NAICS_6,
23,NAICS_2,
23,NAICS_3,
233412,NAICS_4,
233412,NAICS_5,
233412,NAICS_6,
23,NAICS_2,
23,NAICS_3,
2332A0,NAICS_4,
2332A0,NAICS_5,
2332A0,NAICS_6,
23,NAICS_2,
23,NAICS_3,
2332C0,NAICS_4,
2332C0,NAICS_5,
2332C0,NAICS_6,
23,NAICS_2,
23,NAICS_3,
2332D0,NAICS_4,
2332D0,NAICS_5,
2332D0,NAICS_6,
23,NAICS_2,
23,NAICS_3,
2334A0,NAICS_4,
2334A0,NAICS_5,
2334A0,NAICS_6,
HS,NAICS_2,
HS,NAICS_3,
531HSO,NAICS_4,
531HSO,NAICS_5,
531HSO,NAICS_6,
HS,NAICS_2,
HS,NAICS_3,
531HST,NAICS_4,
531HST,NAICS_5,
531HST,NAICS_6,
ORE,NAICS_2,
ORE,NAICS_3,
531ORE,NAICS_4,
531ORE,NAICS_5,
531ORE,NAICS_6,
